File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_001.tif,Page,Page 1,1,ark:/21198/z1gn0wt9,ark:/21198/z1jd7kwb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7kwb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_002.tif,Page,Page 2,2,ark:/21198/z1gn0wt9,ark:/21198/z1dr5jkb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5jkb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_003.tif,Page,Page 3,3,ark:/21198/z1gn0wt9,ark:/21198/z1904sxt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904sxt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_004.tif,Page,Page 4,4,ark:/21198/z1gn0wt9,ark:/21198/z157426w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz157426w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_005.tif,Page,Page 5,5,ark:/21198/z1gn0wt9,ark:/21198/z11g39d8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g39d8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_006.tif,Page,Page 6,6,ark:/21198/z1gn0wt9,ark:/21198/z1wq2sxk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2sxk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_007.tif,Page,Page 7,7,ark:/21198/z1gn0wt9,ark:/21198/z1rz224r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz224r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_008.tif,Page,Page 8,8,ark:/21198/z1gn0wt9,ark:/21198/z1n619hp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n619hp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_009.tif,Page,Page 9,9,ark:/21198/z1gn0wt9,ark:/21198/z1hh9847,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh9847
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_010.tif,Page,Page 10,10,ark:/21198/z1gn0wt9,ark:/21198/z1cr8hhv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8hhv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_011.tif,Page,Page 11,11,ark:/21198/z1gn0wt9,ark:/21198/z1807rsf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807rsf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_012.tif,Page,Page 12,12,ark:/21198/z1gn0wt9,ark:/21198/z1477112,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1477112
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_013.tif,Page,Page 13,13,ark:/21198/z1gn0wt9,ark:/21198/z10g688w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g688w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_014.tif,Page,Page 14,14,ark:/21198/z1gn0wt9,ark:/21198/z1vq5rq9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rq9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_015.tif,Page,Page 15,15,ark:/21198/z1gn0wt9,ark:/21198/z1qz5128,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz5128
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_016.tif,Page,Page 16,16,ark:/21198/z1gn0wt9,ark:/21198/z1m92zqb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92zqb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_017.tif,Page,Page 17,17,ark:/21198/z1gn0wt9,ark:/21198/z1gj273r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj273r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_018.tif,Page,Page 18,18,ark:/21198/z1gn0wt9,ark:/21198/z1bs1g94,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1g94
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_019.tif,Page,Page 19,19,ark:/21198/z1gn0wt9,ark:/21198/z1710qkq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710qkq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_020.tif,Page,Page 20,20,ark:/21198/z1gn0wt9,ark:/21198/z1379zt0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zt0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_021.tif,Page,Page 21,21,ark:/21198/z1gn0wt9,ark:/21198/z1zg9g9n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9g9n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_022.tif,Page,Page 22,22,ark:/21198/z1gn0wt9,ark:/21198/z1tq8qp8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8qp8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195110_023.tif,Page,Page 23,23,ark:/21198/z1gn0wt9,ark:/21198/z1q26pb4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26pb4
